mr,utt
"name[Blue Spice], eatType[restaurant], food[Chinese], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]",Blue Spice is a child friendly Chinese restaurant in riverside near Rainbow Vegetarian Café.
"name[Blue Spice], eatType[restaurant], food[English], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]",Blue Spice is an English restaurant located in the city centre near Rainbow Vegetarian Café. It is not family-friendly.
"name[Blue Spice], eatType[restaurant], food[English], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]",Blue Spice is a family-friendly English restaurant located in the city centre near Rainbow Vegetarian Café.
"name[Blue Spice], eatType[restaurant], food[English], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]",Blue Spice is an English restaurant in the riverside area near Rainbow Vegetarian Café. It is not family-friendly.
"name[Blue Spice], eatType[restaurant], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]",Blue Spice is a family friendly English restaurant in the riverside area near Rainbow Vegetarian Café.
"name[Clowns], eatType[coffee shop], customer rating[3 out of 5], near[All Bar One]",Clowns is a coffee shop near All Bar One. It has a customer rating of 3 out of 5.
"name[Clowns], eatType[coffee shop], customer rating[5 out of 5], near[Crowne Plaza Hotel]",Clowns is a coffee shop near Crowne Plaza Hotel. It has a customer rating of 5 out of 5.
"name[Clowns], eatType[coffee shop], near[The Sorrento]",Clowns is a coffee shop located near The Sorrento.
"name[Clowns], eatType[pub], customer rating[3 out of 5], near[All Bar One]",Clowns is a pub near All Bar One with a customer rating of 3 out of 5.
"name[Clowns], eatType[pub], customer rating[5 out of 5], near[Crowne Plaza Hotel]",Clowns is a pub near Crowne Plaza Hotel with a customer rating of 5 out of 5.
"name[Clowns], eatType[pub], near[The Sorrento]",Clowns pub is located near The Sorrento.
"name[Cocum], eatType[coffee shop], customer rating[high], near[Burger King]",Cocum is a highly rated coffee shop near Burger King.
"name[Cocum], eatType[coffee shop], customer rating[high], near[Café Sicilia]",Cocum is a highly rated coffee shop near Café Sicilia.
"name[Cocum], eatType[coffee shop], customer rating[low], near[Café Sicilia]",Cocum is a coffee shop near Café Sicilia. It has a low customer rating.
"name[Cocum], eatType[coffee shop], customer rating[low], near[Express by Holiday Inn]",Cocum is a coffee shop near Express by Holiday Inn. It has a low customer rating.
"name[Cocum], eatType[coffee shop], near[The Rice Boat]",Cocum is a coffee shop located near The Rice Boat.
"name[Cocum], eatType[coffee shop], near[The Sorrento]",Cocum is a coffee shop located near The Sorrento.
"name[Cocum], eatType[pub], customer rating[high], near[Burger King]",Cocum is a pub near Burger King with a high customer rating.
"name[Cocum], eatType[pub], customer rating[high], near[Café Sicilia]",Cocum is a pub near Café Sicilia with a high customer rating.
"name[Cocum], eatType[pub], customer rating[low], near[Café Sicilia]",Cocum is a pub near Café Sicilia. It has a low customer rating.
"name[Cocum], eatType[pub], customer rating[low], near[Express by Holiday Inn]",Cocum is a pub near Express by Holiday Inn with a low customer rating.
"name[Cocum], eatType[pub], near[The Rice Boat]",Cocum pub is located near The Rice Boat.
"name[Cocum], eatType[pub], near[The Sorrento]",Cocum pub is located near The Sorrento.
"name[Cotto], eatType[coffee shop], near[The Bakers]",Cotto is a coffee shop located near The Bakers.
"name[Cotto], eatType[pub], near[The Bakers]",Cotto pub is located near The Bakers.
"name[Giraffe], eatType[coffee shop], near[The Bakers]",Giraffe is a coffee shop located near The Bakers.
"name[Giraffe], eatType[coffee shop], near[The Rice Boat]",Giraffe is a coffee shop located near The Rice Boat.
"name[Giraffe], eatType[pub], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]",Giraffe is a family friendly pub serving English food in the riverside area near Rainbow Vegetarian Café.
"name[Giraffe], eatType[pub], food[Fast food], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]",Giraffe is a Fast food pub in the city centre near Rainbow Vegetarian Café. It is not family-friendly.
"name[Giraffe], eatType[pub], food[Fast food], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]",Giraffe is a family-friendly pub located in the city centre near Rainbow Vegetarian Café.
"name[Giraffe], eatType[pub], food[Fast food], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]",Giraffe is a Fast food pub in the riverside area near Rainbow Vegetarian Café. It is not family-friendly.
"name[Giraffe], eatType[pub], food[Fast food], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]",Giraffe is a family friendly pub in the riverside area near Rainbow Vegetarian Café.
"name[Giraffe], eatType[pub], food[Fast food], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",Giraffe is a family friendly pub in the riverside area near Raja Indian Cuisine.
"name[Giraffe], eatType[pub], food[French], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]",Giraffe is a French pub located in the city centre near Raja Indian Cuisine. It is not family-friendly.
"name[Giraffe], eatType[pub], food[French], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]",Giraffe is a family-friendly pub located in the city centre near Raja Indian Cuisine.
"name[Giraffe], eatType[pub], food[French], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]",Giraffe is a French pub in the riverside area near Raja Indian Cuisine. It is not family-friendly.
"name[Giraffe], eatType[pub], food[French], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",Giraffe is a family friendly French pub in the riverside area near Raja Indian Cuisine.
"name[Giraffe], eatType[pub], near[The Bakers]",Giraffe pub is located near The Bakers.
"name[Giraffe], eatType[pub], near[The Rice Boat]",Giraffe pub is located near The Rice Boat.
"name[Giraffe], eatType[restaurant], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]",Giraffe is a family friendly English restaurant in the riverside area near Rainbow Vegetarian Café.
"name[Giraffe], eatType[restaurant], food[Fast food], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]",Giraffe is a Fast food restaurant located in the city centre near Rainbow Vegetarian Café. It is not family-friendly.
"name[Giraffe], eatType[restaurant], food[Fast food], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]",Giraffe is a family-friendly restaurant located in the city centre near Rainbow Vegetarian Café.
"name[Giraffe], eatType[restaurant], food[Fast food], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]",Giraffe is a Fast food restaurant near Rainbow Vegetarian Café in the riverside area. It is not family-friendly.
"name[Giraffe], eatType[restaurant], food[Fast food], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]",Giraffe is a family friendly restaurant in the riverside area near Rainbow Vegetarian Café.
"name[Giraffe], eatType[restaurant], food[Fast food], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",Giraffe is a family friendly restaurant in the riverside area near Raja Indian Cuisine.
"name[Giraffe], eatType[restaurant], food[French], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]",Giraffe is a French restaurant located in the city centre near Raja Indian Cuisine. It is not family-friendly.
"name[Giraffe], eatType[restaurant], food[French], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]",Giraffe is a family-friendly French restaurant located in the city centre near Raja Indian Cuisine.
"name[Giraffe], eatType[restaurant], food[French], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]",Giraffe is a French restaurant in the riverside area near Raja Indian Cuisine. It is not family-friendly.
"name[Giraffe], eatType[restaurant], food[French], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",Giraffe is a child friendly French restaurant in riverside near Raja Indian Cuisine.
"name[Green Man], eatType[coffee shop], customer rating[1 out of 5], near[All Bar One]",Green Man is a coffee shop near All Bar One. It has a customer rating of 1 out of 5.
"name[Green Man], eatType[coffee shop], customer rating[3 out of 5], near[All Bar One]",Green Man is a coffee shop near All Bar One. It has a customer rating of 3 out of 5.
"name[Green Man], eatType[pub], customer rating[1 out of 5], near[All Bar One]",Green Man is a pub near All Bar One with a customer rating of 1 out of 5.
"name[Green Man], eatType[pub], customer rating[3 out of 5], near[All Bar One]",Green Man is a pub near All Bar One with a customer rating of 3 out of 5.
"name[Green Man], eatType[pub], food[Italian], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]",Green Man is a family friendly pub serving Italian food in the riverside area near Express by Holiday Inn.
"name[Green Man], eatType[pub], food[Italian], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",Green Man is a family friendly pub serving Italian food in the riverside area near Raja Indian Cuisine.
"name[Green Man], eatType[pub], food[Japanese], area[city centre], familyFriendly[no], near[Express by Holiday Inn]",Green Man is a Japanese pub located in the city centre near Express by Holiday Inn. It is not family-friendly.
"name[Green Man], eatType[pub], food[Japanese], area[city centre], familyFriendly[yes], near[Express by Holiday Inn]",Green Man is a family-friendly pub serving Japanese food. It is located in the city centre near Express by Holiday Inn.
"name[Green Man], eatType[pub], food[Japanese], area[riverside], familyFriendly[no], near[Express by Holiday Inn]",Green Man is a Japanese pub in the riverside area near Express by Holiday Inn. It is not family-friendly.
"name[Green Man], eatType[pub], food[Japanese], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]",Green Man is a family friendly Japanese pub in the riverside area near Express by Holiday Inn.
"name[Green Man], eatType[restaurant], food[Italian], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]",Green Man is a family friendly Italian restaurant in the riverside area near Express by Holiday Inn.
"name[Green Man], eatType[restaurant], food[Italian], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",Green Man is a family friendly Italian restaurant in the riverside area near Raja Indian Cuisine.
"name[Green Man], eatType[restaurant], food[Japanese], area[city centre], familyFriendly[no], near[Express by Holiday Inn]",Green Man is a Japanese restaurant located in the city centre near Express by Holiday Inn. It is not family-friendly.
"name[Green Man], eatType[restaurant], food[Japanese], area[city centre], familyFriendly[yes], near[Express by Holiday Inn]",Green Man is a family friendly Japanese restaurant located in the city centre near Express by Holiday Inn.
"name[Green Man], eatType[restaurant], food[Japanese], area[riverside], familyFriendly[no], near[Express by Holiday Inn]",Green Man is a Japanese restaurant near Express by Holiday Inn in the riverside area. It is not family-friendly.
"name[Green Man], eatType[restaurant], food[Japanese], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]",Green Man is a family friendly Japanese restaurant in the riverside area near Express by Holiday Inn.
"name[Loch Fyne], eatType[coffee shop], area[riverside]",Loch Fyne is a coffee shop in the riverside area.
"name[Loch Fyne], eatType[pub], area[riverside]",Loch Fyne is a pub in the riverside area.
"name[Strada], eatType[coffee shop], area[city centre]",Strada is a coffee shop located in the city centre.
"name[Strada], eatType[coffee shop], customer rating[1 out of 5], near[All Bar One]",Strada is a coffee shop near All Bar One. It has a customer rating of 1 out of 5.
"name[Strada], eatType[coffee shop], customer rating[1 out of 5], near[Rainbow Vegetarian Café]",Strada is a coffee shop near Rainbow Vegetarian Café. It has a customer rating of 1 out of 5.
"name[Strada], eatType[coffee shop], customer rating[low], near[Express by Holiday Inn]",Strada is a coffee shop near Express by Holiday Inn. It has a low customer rating.
"name[Strada], eatType[pub], area[city centre]",Strada is a pub in the city centre.
"name[Strada], eatType[pub], customer rating[1 out of 5], near[All Bar One]",Strada is a pub near All Bar One with a customer rating of 1 out of 5.
"name[Strada], eatType[pub], customer rating[1 out of 5], near[Rainbow Vegetarian Café]",Strada is a pub near Rainbow Vegetarian Café with a customer rating of 1 out of 5.
"name[Strada], eatType[pub], customer rating[low], near[Express by Holiday Inn]",Strada is a pub near Express by Holiday Inn with a low customer rating.
"name[The Cricketers], eatType[coffee shop], customer rating[1 out of 5], familyFriendly[yes], near[Avalon]",The Cricketers is a child friendly coffee shop near Avalon. It has a customer rating of 1 out of 5.
"name[The Cricketers], eatType[coffee shop], customer rating[3 out of 5], familyFriendly[yes], near[Avalon]",The Cricketers is a kid friendly coffee shop near Avalon. It has a customer rating of 3 out of 5.
"name[The Cricketers], eatType[coffee shop], customer rating[3 out of 5], familyFriendly[yes], near[Crowne Plaza Hotel]",The Cricketers is a kid friendly coffee shop near Crowne Plaza Hotel. It has a customer rating of 3 out of 5.
"name[The Cricketers], eatType[coffee shop], customer rating[5 out of 5], familyFriendly[no], near[Crowne Plaza Hotel]",The Cricketers is a coffee shop near Crowne Plaza Hotel. It is not family-friendly and has a customer rating of 5 out of 5.
"name[The Cricketers], eatType[coffee shop], customer rating[5 out of 5], familyFriendly[yes], near[Crowne Plaza Hotel]",The Cricketers is a family friendly coffee shop near Crowne Plaza Hotel. It has a customer rating of 5 out of 5.
"name[The Cricketers], eatType[coffee shop], customer rating[average], familyFriendly[no], near[Café Sicilia]",The Cricketers is a coffee shop near Café Sicilia. It is not family-friendly and has an average customer rating.
"name[The Cricketers], eatType[coffee shop], customer rating[average], familyFriendly[no], near[Crowne Plaza Hotel]",The Cricketers is a coffee shop near Crowne Plaza Hotel. It is not family-friendly and has an average customer rating.
"name[The Cricketers], eatType[coffee shop], customer rating[average], familyFriendly[yes], near[Café Sicilia]",The Cricketers is a family friendly coffee shop near Café Sicilia with an average customer rating.
"name[The Cricketers], eatType[coffee shop], customer rating[high], familyFriendly[yes], near[Café Sicilia]",The Cricketers is a child friendly coffee shop near Café Sicilia. It has a high customer rating.
"name[The Cricketers], eatType[coffee shop], customer rating[high], familyFriendly[yes], near[Express by Holiday Inn]",The Cricketers is a family friendly coffee shop near Express by Holiday Inn. It has a high customer rating.
"name[The Cricketers], eatType[coffee shop], customer rating[low], familyFriendly[no], near[Express by Holiday Inn]",The Cricketers is a coffee shop near Express by Holiday Inn. It is not family-friendly and has a low customer rating.
"name[The Cricketers], eatType[coffee shop], customer rating[low], familyFriendly[no], near[Ranch]",The Cricketers is a coffee shop near Ranch. It is not family-friendly and has a low customer rating.
"name[The Cricketers], eatType[coffee shop], customer rating[low], familyFriendly[yes], near[Ranch]",The Cricketers is a family friendly coffee shop near Ranch. It has a low customer rating.
"name[The Cricketers], eatType[restaurant], customer rating[1 out of 5], familyFriendly[yes], near[Avalon]",The Cricketers is a child friendly restaurant near Avalon. It has a customer rating of 1 out of 5.
"name[The Cricketers], eatType[restaurant], customer rating[3 out of 5], familyFriendly[yes], near[Avalon]",The Cricketers is a child friendly restaurant near Avalon. It has a customer rating of 3 out of 5.
"name[The Cricketers], eatType[restaurant], customer rating[3 out of 5], familyFriendly[yes], near[Crowne Plaza Hotel]",The Cricketers is a child friendly restaurant near Crowne Plaza Hotel with a customer rating of 3 out of 5.
"name[The Cricketers], eatType[restaurant], customer rating[5 out of 5], familyFriendly[no], near[Crowne Plaza Hotel]",The Cricketers is a restaurant near Crowne Plaza Hotel. It is not family-friendly and has a customer rating of 5 out of 5.
"name[The Cricketers], eatType[restaurant], customer rating[5 out of 5], familyFriendly[yes], near[Crowne Plaza Hotel]",The Cricketers is a family friendly restaurant near Crowne Plaza Hotel with a customer rating of 5 out of 5.
"name[The Cricketers], eatType[restaurant], customer rating[average], familyFriendly[no], near[Café Sicilia]",The Cricketers is a restaurant near Café Sicilia. It has an average customer rating and is not family-friendly.
"name[The Cricketers], eatType[restaurant], customer rating[average], familyFriendly[no], near[Crowne Plaza Hotel]",The Cricketers is a restaurant near Crowne Plaza Hotel. It has an average customer rating and is not family-friendly.
"name[The Cricketers], eatType[restaurant], customer rating[average], familyFriendly[yes], near[Café Sicilia]",The Cricketers is a family friendly restaurant near Café Sicilia with an average customer rating.
"name[The Cricketers], eatType[restaurant], customer rating[high], familyFriendly[yes], near[Café Sicilia]",The Cricketers is a child friendly restaurant near Café Sicilia. It has a high customer rating.
"name[The Cricketers], eatType[restaurant], customer rating[high], familyFriendly[yes], near[Express by Holiday Inn]",The Cricketers is a child friendly restaurant near Express by Holiday Inn. It has a high customer rating.
"name[The Cricketers], eatType[restaurant], customer rating[low], familyFriendly[no], near[Express by Holiday Inn]",The Cricketers is a restaurant near Express by Holiday Inn. It is not family friendly and has a low customer rating.
"name[The Cricketers], eatType[restaurant], customer rating[low], familyFriendly[no], near[Ranch]",The Cricketers is a restaurant near Ranch. It is not family friendly and has a low customer rating.
"name[The Cricketers], eatType[restaurant], customer rating[low], familyFriendly[yes], near[Ranch]",The Cricketers is a family friendly restaurant near Ranch with a low customer rating.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[£20-25], customer rating[high], area[city centre], familyFriendly[no], near[All Bar One]",The Cricketers is a Chinese restaurant located in the city centre near All Bar One. It has a high customer rating and a price range of £20-25 and is not kid friendly.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[£20-25], customer rating[high], area[city centre], familyFriendly[yes], near[All Bar One]",The Cricketers is a Chinese restaurant located in the city centre near All Bar One. It has a high customer rating and a price range of £20-25 and is kid friendly.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[£20-25], customer rating[high], area[riverside], familyFriendly[no], near[All Bar One]",The Cricketers is a Chinese restaurant in the riverside area near All Bar One. It has a high customer rating and a price range of £20-25. It is not kid friendly.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[£20-25], customer rating[high], area[riverside], familyFriendly[yes], near[All Bar One]",The Cricketers is a Chinese restaurant in the riverside area near All Bar One. It has a high customer rating and a price range of £20-25 and is child friendly.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[cheap], customer rating[5 out of 5], area[city centre], familyFriendly[no], near[All Bar One]",The Cricketers is a cheap Chinese restaurant located in the city centre near All Bar One. It has a customer rating of 5 out of 5 and is not family-friendly.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[cheap], customer rating[5 out of 5], area[city centre], familyFriendly[yes], near[All Bar One]",The Cricketers is a cheap Chinese restaurant in the city centre near All Bar One. It has a customer rating of 5 out of 5 and is family-friendly.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[no], near[All Bar One]",The Cricketers is a Chinese restaurant in the riverside area near All Bar One. It has a 5 out of 5 customer rating and is not family-friendly.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[yes], near[All Bar One]",The Cricketers is a family friendly Chinese restaurant in the riverside area near All Bar One. It has a customer rating of 5 out of 5 and a cheap price range.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[cheap], customer rating[average], area[city centre], familyFriendly[no], near[All Bar One]",The Cricketers is a cheap Chinese restaurant located in the city centre near All Bar One. It has an average customer rating and is not family-friendly.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[cheap], customer rating[average], area[city centre], familyFriendly[yes], near[All Bar One]",The Cricketers is a cheap Chinese restaurant located in the city centre near All Bar One. It has an average customer rating and is family-friendly.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[cheap], customer rating[average], area[riverside], familyFriendly[no], near[All Bar One]",The Cricketers is a Chinese restaurant near All Bar One in the riverside area. It is not family-friendly and has an average customer rating and is cheap.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[cheap], customer rating[average], area[riverside], familyFriendly[yes], near[All Bar One]",The Cricketers is a cheap Chinese restaurant in the riverside area near All Bar One. It is family friendly and has an average customer rating.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[high], customer rating[1 out of 5], area[city centre], familyFriendly[no], near[All Bar One]",The Cricketers is a Chinese restaurant located in the city centre near All Bar One. It has a high price range and a customer rating of 1 out of 5 and is not child friendly.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[high], customer rating[1 out of 5], area[city centre], familyFriendly[yes], near[All Bar One]",The Cricketers is a child friendly Chinese restaurant in the city centre near All Bar One. It has a high price range and a customer rating of 1 out of 5.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[high], customer rating[1 out of 5], area[riverside], familyFriendly[no], near[All Bar One]",The Cricketers is a Chinese restaurant near All Bar One in the riverside area. It has a high price range and a customer rating of 1 out of 5 and is not child friendly.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[high], customer rating[1 out of 5], area[riverside], familyFriendly[yes], near[All Bar One]",The Cricketers is a child friendly Chinese restaurant in the riverside area near All Bar One. It has a high price range and a customer rating of 1 out of 5.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[high], customer rating[average], area[city centre], familyFriendly[no], near[All Bar One]",The Cricketers is a Chinese restaurant located in the city centre near All Bar One. It has a high price range and an average customer rating and is not child friendly.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[high], customer rating[average], area[city centre], familyFriendly[yes], near[All Bar One]",The Cricketers is a Chinese restaurant in the high price range. It is located in the city centre near All Bar One. It is child friendly and has an average customer rating.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[high], customer rating[average], area[riverside], familyFriendly[no], near[All Bar One]",The Cricketers is a Chinese restaurant in the high price range. It is located in the riverside area near the All Bar One. It is not child friendly and has an average customer rating.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[high], customer rating[average], area[riverside], familyFriendly[yes], near[All Bar One]",The Cricketers is a Chinese restaurant in the high price range. It is located in the riverside area near All Bar One. It is child friendly and has an average customer rating.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[less than £20], customer rating[low], area[city centre], familyFriendly[no], near[All Bar One]",The Cricketers is a Chinese restaurant located in the city centre near All Bar One. It has a low customer rating and a price range of less than £20. It is not family-friendly.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[less than £20], customer rating[low], area[city centre], familyFriendly[yes], near[All Bar One]",The Cricketers is a family-friendly Chinese restaurant located in the city centre near All Bar One. It has a low customer rating and a price range of less than £20.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[less than £20], customer rating[low], area[riverside], familyFriendly[no], near[All Bar One]",The Cricketers is a Chinese restaurant near All Bar One in the riverside area. It is not family-friendly and has a low customer rating and a price range of less than £20.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[less than £20], customer rating[low], area[riverside], familyFriendly[yes], near[All Bar One]",The Cricketers is a family friendly Chinese restaurant in the riverside area near All Bar One. It has a low customer rating and a price range of less than £20.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[moderate], customer rating[1 out of 5], area[city centre], familyFriendly[no], near[All Bar One]",The Cricketers is a moderately priced Chinese restaurant in the city centre near All Bar One. It is not kid friendly and has a customer rating of 1 out of 5.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[moderate], customer rating[1 out of 5], area[city centre], familyFriendly[yes], near[All Bar One]",The Cricketers is a moderately priced Chinese restaurant in the city centre near All Bar One. It is kid friendly and has a customer rating of 1 out of 5.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[moderate], customer rating[1 out of 5], area[riverside], familyFriendly[no], near[All Bar One]",The Cricketers is a moderately priced Chinese restaurant in the riverside area near All Bar One. It is not kid friendly and has a customer rating of 1 out of 5.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[moderate], customer rating[1 out of 5], area[riverside], familyFriendly[yes], near[All Bar One]",The Cricketers is a kid friendly Chinese restaurant in the riverside area near All Bar One. It has a moderate price range and a customer rating of 1 out of 5.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[moderate], customer rating[3 out of 5], area[city centre], familyFriendly[no], near[All Bar One]",The Cricketers is a moderately priced Chinese restaurant located in the city centre near All Bar One. It has a customer rating of 3 out of 5 and is not kid friendly.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[moderate], customer rating[3 out of 5], area[city centre], familyFriendly[yes], near[All Bar One]",The Cricketers is a moderately priced Chinese restaurant in the city centre near All Bar One. It has a customer rating of 3 out of 5 and is kid friendly.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[moderate], customer rating[3 out of 5], area[riverside], familyFriendly[no], near[All Bar One]",The Cricketers is a Chinese restaurant located in the riverside area near All Bar One. It has a moderate price range and a customer rating of 3 out of 5 and is not kid friendly.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[moderate], customer rating[3 out of 5], area[riverside], familyFriendly[yes], near[All Bar One]",The Cricketers is a kid friendly Chinese restaurant in the riverside area near All Bar One. It has a moderate price range and a customer rating of 3 out of 5.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[more than £30], customer rating[high], area[city centre], familyFriendly[no], near[All Bar One]",The Cricketers is a Chinese restaurant located in the city centre near All Bar One. It has a high customer rating and a price range of more than £30 and is not child friendly.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[more than £30], customer rating[high], area[city centre], familyFriendly[yes], near[All Bar One]",The Cricketers is a child friendly Chinese restaurant in the city centre near All Bar One. It has a high customer rating and a price range of more than £30.
